name,symbol,logo,price,market_cap,href
Neo,NEO,https://s2.coinmarketcap.com/static/img/coins/64x64/1376.png,$8.31 ,"$584,141,597 ",https://coinmarketcap.com/currencies/neo/
PAX Gold,PAXG,https://s2.coinmarketcap.com/static/img/coins/64x64/4705.png,"$1,728.19 ","$576,146,197 ",https://coinmarketcap.com/currencies/pax-gold/
Basic Attention Token,BAT,https://s2.coinmarketcap.com/static/img/coins/64x64/1697.png,$0.37 ,"$559,634,740 ",https://coinmarketcap.com/currencies/basic-attention-token/
STEPN,GMT,https://s2.coinmarketcap.com/static/img/coins/64x64/18069.png,$0.88 ,"$529,853,136 ",https://coinmarketcap.com/currencies/green-metaverse-token/
Waves,WAVES,https://s2.coinmarketcap.com/static/img/coins/64x64/1274.png,$4.84 ,"$524,404,560 ",https://coinmarketcap.com/currencies/waves/
Curve DAO Token,CRV,https://s2.coinmarketcap.com/static/img/coins/64x64/6538.png,$0.95 ,"$509,784,337 ",https://coinmarketcap.com/currencies/curve-dao-token/
Loopring,LRC,https://s2.coinmarketcap.com/static/img/coins/64x64/1934.png,$0.37 ,"$492,356,753 ",https://coinmarketcap.com/currencies/loopring/
Stacks,STX,https://s2.coinmarketcap.com/static/img/coins/64x64/4847.png,$0.37 ,"$488,982,157 ",https://coinmarketcap.com/currencies/stacks/
Zilliqa,ZIL,https://s2.coinmarketcap.com/static/img/coins/64x64/2469.png,$0.04 ,"$483,781,333 ",https://coinmarketcap.com/currencies/zilliqa/
Dash,DASH,https://s2.coinmarketcap.com/static/img/coins/64x64/131.png,$41.27 ,"$446,346,369 ",https://coinmarketcap.com/currencies/dash/
Enjin Coin,ENJ,https://s2.coinmarketcap.com/static/img/coins/64x64/2130.png,$0.48 ,"$429,722,184 ",https://coinmarketcap.com/currencies/enjin-coin/
PancakeSwap,CAKE,https://s2.coinmarketcap.com/static/img/coins/64x64/7186.png,$2.98 ,"$425,517,163 ",https://coinmarketcap.com/currencies/pancakeswap/
Fei USD,FEI,https://s2.coinmarketcap.com/static/img/coins/64x64/8642.png,$0.99 ,"$420,422,780 ",https://coinmarketcap.com/currencies/fei-usd/
TerraClassicUSD,USTC,https://s2.coinmarketcap.com/static/img/coins/64x64/7129.png,$0.04 ,"$415,923,254 ",https://coinmarketcap.com/currencies/terrausd/
Kusama,KSM,https://s2.coinmarketcap.com/static/img/coins/64x64/5034.png,$48.37 ,"$409,734,281 ",https://coinmarketcap.com/currencies/kusama/
Mina,MINA,https://s2.coinmarketcap.com/static/img/coins/64x64/8646.png,$0.65 ,"$379,807,091 ",https://coinmarketcap.com/currencies/mina/
Arweave,AR,https://s2.coinmarketcap.com/static/img/coins/64x64/5632.png,$11.37 ,"$379,711,712 ",https://coinmarketcap.com/currencies/arweave/
Amp,AMP,https://s2.coinmarketcap.com/static/img/coins/64x64/6945.png,$0.01 ,"$376,924,453 ",https://coinmarketcap.com/currencies/amp/
Celo,CELO,https://s2.coinmarketcap.com/static/img/coins/64x64/5567.png,$0.83 ,"$373,852,090 ",https://coinmarketcap.com/currencies/celo/
Kava,KAVA,https://s2.coinmarketcap.com/static/img/coins/64x64/4846.png,$1.63 ,"$368,299,137 ",https://coinmarketcap.com/currencies/kava/
Convex Finance,CVX,https://s2.coinmarketcap.com/static/img/coins/64x64/9903.png,$5.53 ,"$357,458,399 ",https://coinmarketcap.com/currencies/convex-finance/
NEM,XEM,https://s2.coinmarketcap.com/static/img/coins/64x64/873.png,$0.04 ,"$344,988,453 ",https://coinmarketcap.com/currencies/nem/
Compound,COMP,https://s2.coinmarketcap.com/static/img/coins/64x64/5692.png,$48.10 ,"$344,282,835 ",https://coinmarketcap.com/currencies/compound/
Gala,GALA,https://s2.coinmarketcap.com/static/img/coins/64x64/7080.png,$0.05 ,"$343,302,553 ",https://coinmarketcap.com/currencies/gala/
